career_name,domain,paid,customer_type,product_type,physical_presence,location_specific,scale,people_interaction,manual_work,creative_output,technical_work,uniqueness_level,automation_risk,social_impact,typical_age_min
Automotive Engineer,entertainment,no,companies,experience,sometimes,no,massive,high,no,yes,yes,medium,medium,low,27
YouTuber,design,sometimes,platform,experience,yes,yes,large,high,yes,no,yes,high,low,low,16
Sound Engineer,social media,sometimes,companies,content,yes,yes,massive,low,no,yes,yes,medium,high,low,26
Civil Engineer,design,sometimes,organizations,physical,sometimes,yes,medium,high,yes,yes,yes,medium,medium,medium,27
Mechanical Technician,music,yes,companies,content,yes,yes,small,low,no,yes,no,medium,high,low,19
Product Manager,marketing,no,individuals,service,sometimes,no,small,low,yes,no,yes,medium,low,medium,24
Automotive Engineer,marketing,sometimes,brands,experience,yes,yes,large,medium,yes,yes,no,high,medium,medium,16
Event Coordinator,design,yes,platform,service,sometimes,no,massive,high,yes,yes,no,high,medium,high,21
Interior Designer,music,no,organizations,experience,no,yes,massive,high,no,yes,no,high,low,low,18
Film Editor,automotive,sometimes,organizations,experience,yes,no,medium,low,no,no,no,low,high,low,14
Marketing Specialist,automotive,no,platform,experience,no,no,medium,low,yes,no,no,low,medium,low,17
Video Editor,automotive,yes,organizations,content,yes,no,massive,low,yes,no,yes,low,low,medium,18
Video Editor,technology,sometimes,organizations,service,sometimes,no,medium,low,yes,no,no,medium,high,medium,14
YouTuber,design,no,platform,physical,no,yes,small,low,yes,yes,yes,medium,medium,low,21
Fashion Model,music,no,organizations,experience,yes,no,medium,medium,no,yes,no,low,low,low,17
Civil Engineer,design,sometimes,companies,experience,sometimes,yes,small,high,no,yes,no,low,high,high,20
Interior Designer,entertainment,sometimes,individuals,service,yes,yes,medium,high,no,yes,no,low,low,medium,15
Mechanical Technician,marketing,yes,brands,experience,sometimes,yes,small,high,yes,yes,no,medium,high,low,21
Automotive Engineer,education,yes,individuals,physical,sometimes,no,massive,high,no,no,no,medium,low,medium,17
Automotive Engineer,design,sometimes,individuals,digital,no,no,large,medium,yes,no,no,high,medium,high,21
YouTuber,design,no,companies,physical,no,yes,massive,high,no,yes,no,medium,low,medium,17
Podcast Host,religion,no,individuals,digital,no,yes,small,low,yes,yes,no,low,medium,high,25
Software Developer,non-profit,yes,platform,content,yes,no,large,low,no,no,yes,low,medium,medium,14
Vehicle Armoring Specialist,music,yes,brands,physical,no,yes,small,low,no,yes,no,medium,low,high,27
Vehicle Armoring Specialist,entertainment,sometimes,organizations,physical,yes,no,medium,high,yes,no,no,low,medium,high,27
Automotive Engineer,social media,no,brands,content,no,yes,large,high,yes,yes,no,high,high,medium,22
YouTuber,design,yes,platform,physical,yes,yes,large,low,yes,no,yes,low,low,high,15
Interior Designer,design,sometimes,platform,physical,sometimes,yes,large,low,no,no,no,medium,low,medium,27
Product Manager,marketing,no,individuals,content,no,no,small,high,yes,yes,yes,high,high,medium,19
Marketing Specialist,education,sometimes,platform,experience,no,no,small,high,yes,no,no,high,low,low,26
Content Creator,entertainment,no,platform,experience,sometimes,yes,massive,medium,no,no,yes,medium,medium,low,14
Software Developer,entertainment,no,platform,content,yes,yes,medium,high,yes,no,no,low,medium,low,15
Content Creator,social media,yes,platform,service,yes,yes,large,medium,yes,yes,yes,low,medium,high,28
Music Producer,music,no,platform,physical,sometimes,no,small,low,no,yes,no,high,low,low,16
Content Creator,entertainment,sometimes,platform,physical,yes,no,medium,low,no,no,yes,high,low,low,13
Fashion Model,social media,yes,companies,service,yes,no,large,medium,no,yes,no,low,high,medium,25
Community Manager,marketing,yes,platform,physical,no,yes,small,low,no,no,no,high,low,low,23
UX Designer,social media,no,companies,service,yes,yes,small,medium,no,yes,yes,high,medium,medium,15
Content Creator,design,sometimes,brands,content,yes,no,large,low,yes,yes,yes,high,high,high,27
YouTuber,design,sometimes,companies,physical,no,yes,large,high,no,no,yes,high,high,low,17
YouTuber,non-profit,sometimes,brands,digital,sometimes,yes,massive,high,yes,no,no,low,low,medium,23
Graphic Designer,marketing,no,organizations,experience,no,no,small,low,no,no,no,low,high,medium,14
Vehicle Armoring Specialist,automotive,sometimes,platform,content,sometimes,no,small,medium,yes,no,no,high,high,low,20
Community Manager,design,yes,individuals,content,sometimes,no,small,high,yes,no,yes,low,medium,medium,17
Photographer,entertainment,yes,individuals,digital,no,no,medium,low,no,no,yes,medium,medium,medium,22
Religious Youth Leader,design,no,individuals,digital,yes,no,massive,high,no,no,no,medium,low,medium,22
Community Manager,music,sometimes,platform,physical,sometimes,yes,large,medium,no,yes,yes,low,low,high,20
Podcast Host,non-profit,yes,individuals,physical,yes,yes,massive,low,yes,no,no,medium,high,low,15
Game Designer,technology,no,brands,service,sometimes,no,large,medium,yes,yes,yes,low,high,high,30
Marketing Specialist,automotive,sometimes,individuals,content,yes,yes,large,high,no,no,yes,low,low,medium,26
Social Media Influencer,technology,no,companies,physical,no,no,small,high,yes,no,no,high,low,low,22
Product Manager,marketing,sometimes,companies,experience,sometimes,yes,large,medium,yes,yes,no,high,low,high,23
Event Coordinator,education,yes,individuals,service,no,yes,large,low,no,no,yes,low,medium,medium,17
UX Designer,automotive,no,individuals,content,sometimes,yes,massive,medium,yes,no,no,medium,low,high,22
Photographer,automotive,sometimes,individuals,physical,yes,no,large,low,no,no,no,high,medium,high,16
Community Manager,marketing,sometimes,brands,service,no,yes,medium,medium,yes,yes,no,high,medium,high,26
Game Designer,education,no,companies,digital,no,no,large,high,no,yes,no,medium,low,high,16
Church Choir Member,design,sometimes,individuals,experience,yes,yes,massive,medium,yes,yes,no,high,high,high,25
YouTuber,entertainment,yes,brands,physical,yes,no,small,medium,yes,no,no,low,medium,high,17
Podcast Host,technology,yes,organizations,content,no,no,medium,high,no,yes,yes,medium,medium,high,17
Journalist,marketing,no,companies,service,sometimes,yes,massive,medium,no,no,no,medium,high,low,29
Sound Engineer,automotive,sometimes,organizations,service,yes,yes,small,low,yes,no,no,high,low,low,20
Social Media Influencer,automotive,no,organizations,physical,sometimes,yes,massive,low,no,no,yes,high,medium,high,27
Teacher,religion,sometimes,brands,digital,yes,yes,large,medium,yes,yes,yes,medium,medium,low,30
Event Coordinator,technology,sometimes,platform,service,yes,no,massive,medium,no,yes,yes,high,medium,high,22
Photographer,social media,yes,organizations,digital,no,yes,large,low,no,yes,yes,low,medium,high,18
Data Analyst,entertainment,sometimes,brands,experience,no,no,small,low,yes,no,no,low,low,low,13
Social Media Influencer,design,sometimes,individuals,content,no,yes,massive,low,no,yes,yes,medium,high,medium,17
Sound Engineer,automotive,sometimes,brands,physical,sometimes,no,medium,low,yes,yes,no,high,high,low,18
Content Creator,design,sometimes,companies,content,sometimes,no,medium,low,no,yes,yes,medium,high,high,17
Civil Engineer,non-profit,yes,platform,content,yes,yes,small,low,no,yes,yes,high,high,high,16
Product Manager,automotive,no,brands,service,sometimes,no,small,low,yes,yes,yes,low,high,high,15
Game Designer,automotive,sometimes,platform,content,yes,yes,massive,low,no,yes,yes,medium,high,medium,27
YouTuber,social media,no,brands,physical,yes,no,massive,low,no,yes,no,medium,low,high,28
Automotive Engineer,entertainment,yes,organizations,experience,yes,yes,small,high,no,no,yes,high,high,low,15
Music Producer,technology,yes,individuals,experience,yes,yes,small,medium,no,no,yes,low,high,high,17
Sound Engineer,social media,no,companies,experience,yes,yes,medium,low,yes,no,no,low,low,high,19
UX Designer,design,yes,platform,physical,sometimes,no,massive,low,yes,no,no,medium,high,high,13
Religious Youth Leader,music,sometimes,organizations,physical,sometimes,no,medium,medium,yes,yes,no,medium,low,medium,29
NGO Worker,music,yes,organizations,service,sometimes,yes,small,medium,yes,no,no,high,medium,medium,23
Mechanical Technician,social media,no,companies,content,yes,no,small,low,no,yes,no,low,high,high,24
NGO Worker,technology,sometimes,individuals,experience,yes,no,small,medium,yes,yes,yes,medium,low,medium,14
Film Editor,automotive,no,individuals,physical,no,yes,large,medium,yes,yes,yes,medium,low,high,18
Podcast Host,technology,yes,organizations,digital,no,yes,large,medium,no,yes,yes,medium,low,medium,27
Graphic Designer,design,sometimes,organizations,physical,yes,no,small,low,yes,yes,no,high,medium,low,19
Music Producer,entertainment,no,platform,physical,no,yes,medium,medium,yes,yes,yes,medium,high,low,14
Photographer,non-profit,no,companies,service,no,yes,massive,medium,yes,no,no,medium,medium,low,13
Teacher,entertainment,no,brands,content,yes,no,massive,high,no,no,no,medium,low,medium,16
Event Coordinator,religion,yes,individuals,physical,no,yes,small,medium,no,yes,yes,low,high,medium,16
YouTuber,marketing,no,brands,service,yes,no,medium,low,yes,no,no,medium,low,medium,13
Architect,non-profit,yes,brands,physical,no,yes,small,low,yes,yes,no,high,medium,medium,17
Podcast Host,education,sometimes,organizations,digital,no,no,small,high,yes,no,no,low,low,high,26
Game Designer,education,sometimes,organizations,physical,sometimes,yes,small,low,yes,yes,yes,high,medium,low,21
Vehicle Armoring Specialist,technology,sometimes,brands,content,no,no,massive,high,yes,no,yes,high,high,high,23
Church Choir Member,technology,sometimes,companies,service,yes,yes,large,medium,yes,no,no,high,medium,medium,27
UX Designer,music,no,organizations,content,yes,yes,small,medium,yes,no,yes,medium,high,high,24
Church Choir Member,marketing,sometimes,platform,service,yes,no,medium,medium,yes,yes,no,high,low,low,25
Game Designer,non-profit,yes,companies,content,no,no,massive,low,no,yes,no,low,low,low,29
Fashion Model,design,no,platform,digital,no,yes,massive,low,yes,no,no,low,low,high,30
Mechanical Technician,technology,yes,brands,experience,sometimes,yes,small,high,yes,yes,yes,low,high,medium,29
Mechanical Technician,social media,yes,individuals,digital,no,yes,massive,low,no,no,yes,high,high,medium,24
Teacher,religion,yes,brands,service,yes,no,massive,medium,no,no,yes,high,high,low,29
UX Designer,technology,sometimes,platform,content,no,no,medium,medium,no,no,no,low,high,low,27
Sound Engineer,religion,sometimes,brands,physical,sometimes,yes,medium,high,no,no,no,medium,low,high,25
Architect,entertainment,no,individuals,experience,yes,no,large,medium,no,no,yes,low,low,low,21
Product Manager,social media,yes,organizations,experience,sometimes,yes,large,high,no,no,yes,high,low,low,24
Community Manager,marketing,yes,companies,digital,yes,yes,massive,low,yes,no,no,low,high,low,13
Automotive Engineer,non-profit,yes,brands,experience,yes,no,massive,high,no,yes,yes,low,medium,low,14
Podcast Host,design,yes,individuals,experience,sometimes,yes,medium,low,yes,yes,yes,low,low,high,19
Graphic Designer,entertainment,no,individuals,physical,yes,no,small,low,no,yes,yes,low,high,high,17
Social Media Influencer,music,no,platform,experience,no,no,small,low,no,yes,no,low,high,high,29
Data Analyst,marketing,yes,organizations,physical,sometimes,yes,small,high,no,no,yes,low,medium,high,13
Marketing Specialist,marketing,no,companies,digital,no,yes,medium,medium,no,no,yes,low,medium,low,27
Teacher,marketing,yes,platform,physical,yes,yes,medium,medium,yes,no,no,high,low,low,25
Social Media Influencer,non-profit,sometimes,individuals,digital,yes,yes,small,high,no,yes,no,medium,low,medium,13
Photographer,design,sometimes,organizations,service,yes,yes,massive,high,no,no,yes,low,high,high,23
NGO Worker,technology,no,brands,experience,no,yes,massive,low,yes,no,yes,low,low,low,25
Journalist,education,yes,platform,digital,no,yes,massive,medium,yes,no,yes,low,high,low,18
Video Editor,automotive,no,brands,content,yes,no,large,low,yes,no,no,low,medium,medium,18
Software Developer,social media,no,platform,physical,no,no,massive,low,yes,no,no,high,low,medium,25
Film Editor,technology,yes,brands,digital,no,no,massive,low,no,no,yes,medium,high,low,29
Architect,design,yes,platform,content,sometimes,no,large,low,no,yes,yes,low,medium,high,30
UX Designer,religion,no,individuals,content,sometimes,no,small,medium,yes,yes,yes,medium,low,high,16
Event Coordinator,non-profit,sometimes,companies,content,yes,yes,large,low,no,yes,yes,medium,low,medium,16
Automotive Engineer,religion,yes,individuals,service,yes,no,small,low,no,no,yes,low,high,high,29
UX Designer,religion,no,brands,physical,sometimes,yes,large,medium,yes,no,no,high,medium,medium,26
Software Developer,technology,no,brands,physical,no,no,large,high,no,yes,yes,low,medium,medium,28
Teacher,religion,sometimes,brands,service,yes,no,massive,high,yes,yes,no,medium,low,high,16
Photographer,non-profit,sometimes,individuals,experience,sometimes,yes,massive,low,no,yes,no,high,medium,high,16
Automotive Engineer,marketing,no,individuals,service,no,no,large,high,no,no,yes,high,high,medium,22
Church Choir Member,education,sometimes,companies,service,yes,no,large,low,yes,no,no,low,low,low,21
UX Designer,non-profit,no,brands,physical,no,no,small,high,no,yes,yes,low,medium,low,30
Fashion Model,entertainment,no,organizations,service,no,yes,large,high,yes,no,no,low,high,high,30
Religious Youth Leader,music,no,brands,physical,sometimes,yes,small,low,yes,no,yes,high,low,high,22
Church Choir Member,entertainment,sometimes,brands,content,yes,no,medium,high,no,yes,no,high,low,high,27
Mechanical Technician,marketing,sometimes,organizations,content,sometimes,yes,small,medium,yes,no,yes,high,high,high,22
Software Developer,entertainment,yes,individuals,content,yes,yes,large,low,no,yes,yes,low,low,low,21
Film Editor,entertainment,no,companies,content,sometimes,yes,massive,high,yes,yes,yes,high,medium,high,22
Graphic Designer,music,yes,companies,physical,yes,no,massive,high,no,yes,no,low,low,medium,20
NGO Worker,music,sometimes,platform,experience,sometimes,no,massive,medium,yes,no,no,high,high,medium,14
Graphic Designer,education,yes,organizations,physical,no,yes,large,high,yes,yes,yes,medium,low,low,28
Product Manager,automotive,no,brands,experience,yes,no,medium,low,yes,no,yes,medium,high,high,29
Church Choir Member,marketing,no,individuals,experience,no,yes,large,high,no,no,no,low,low,medium,27
Teacher,non-profit,sometimes,brands,service,yes,no,small,high,no,no,yes,high,high,medium,30
Community Manager,automotive,yes,individuals,physical,yes,yes,medium,medium,no,no,yes,low,low,high,26
Event Coordinator,entertainment,sometimes,individuals,experience,no,no,massive,high,yes,no,no,medium,medium,medium,15
Podcast Host,design,yes,individuals,physical,yes,no,large,low,yes,no,yes,high,high,medium,28
Fashion Model,music,sometimes,platform,service,no,yes,medium,medium,yes,yes,no,medium,low,medium,27
Community Manager,technology,yes,individuals,digital,sometimes,yes,small,low,no,yes,yes,medium,high,low,15
Graphic Designer,design,no,individuals,digital,no,no,massive,high,no,no,yes,high,high,medium,27
Sound Engineer,social media,yes,brands,physical,no,yes,medium,low,yes,yes,yes,high,high,medium,13
Product Manager,automotive,sometimes,brands,physical,sometimes,yes,massive,low,no,no,yes,low,low,high,16
YouTuber,marketing,no,brands,service,yes,no,large,high,yes,yes,no,medium,high,low,20
Marketing Specialist,marketing,yes,platform,digital,no,yes,medium,medium,yes,no,yes,high,low,medium,13
YouTuber,music,sometimes,individuals,physical,yes,no,massive,high,no,no,yes,low,medium,medium,24
Podcast Host,technology,sometimes,individuals,service,sometimes,yes,small,low,yes,no,yes,low,medium,low,29
Product Manager,marketing,no,organizations,physical,yes,yes,medium,high,no,yes,yes,high,low,medium,16
Mechanical Technician,non-profit,yes,brands,experience,yes,yes,massive,low,no,no,no,high,low,low,25
Religious Youth Leader,non-profit,yes,brands,service,no,yes,massive,medium,yes,yes,no,medium,medium,low,28
Interior Designer,social media,no,platform,service,no,yes,medium,medium,yes,no,yes,medium,medium,low,23
Social Media Influencer,technology,yes,individuals,experience,no,yes,large,high,no,yes,no,low,low,low,26
Content Creator,non-profit,sometimes,organizations,physical,yes,no,massive,medium,yes,yes,no,high,low,high,14
Fashion Model,technology,yes,organizations,experience,sometimes,no,medium,high,yes,yes,yes,high,low,medium,27
Content Creator,automotive,yes,brands,service,no,yes,massive,high,yes,yes,no,medium,medium,medium,16
Church Choir Member,non-profit,no,individuals,service,sometimes,yes,medium,medium,yes,yes,no,medium,low,low,29
Journalist,entertainment,yes,brands,digital,yes,yes,massive,low,yes,yes,no,medium,high,high,27
Content Creator,social media,sometimes,companies,physical,no,yes,medium,high,yes,yes,yes,low,medium,medium,20
Vehicle Armoring Specialist,religion,no,brands,physical,no,no,large,medium,no,yes,yes,medium,medium,high,20
NGO Worker,non-profit,sometimes,organizations,service,sometimes,yes,massive,high,no,yes,no,low,low,medium,15
Photographer,design,no,brands,service,no,yes,medium,high,yes,yes,no,low,medium,medium,18
Automotive Engineer,music,sometimes,individuals,experience,yes,yes,small,medium,no,yes,yes,high,high,low,27
Vehicle Armoring Specialist,entertainment,sometimes,organizations,content,yes,yes,small,high,no,yes,no,medium,low,high,28
Architect,design,yes,platform,service,no,no,massive,medium,no,yes,yes,medium,low,medium,26
Interior Designer,religion,no,platform,content,yes,yes,small,medium,no,no,yes,high,high,low,15
Journalist,automotive,no,platform,experience,sometimes,no,medium,low,no,yes,no,high,high,medium,26
Social Media Influencer,non-profit,yes,companies,digital,sometimes,no,massive,high,no,no,no,high,medium,high,20
Social Media Influencer,marketing,yes,individuals,physical,yes,no,massive,high,no,no,no,high,medium,high,24
Interior Designer,social media,sometimes,companies,physical,no,no,medium,high,yes,yes,yes,medium,high,low,19
Civil Engineer,social media,no,brands,experience,no,yes,medium,high,no,yes,no,medium,medium,high,22
Civil Engineer,technology,yes,individuals,physical,no,yes,small,low,yes,no,yes,high,medium,medium,16
Graphic Designer,education,sometimes,brands,content,no,no,massive,low,no,no,yes,medium,medium,high,29
Product Manager,marketing,sometimes,individuals,content,yes,no,medium,high,yes,yes,no,high,medium,high,22
Vehicle Armoring Specialist,design,no,organizations,service,no,yes,small,high,no,no,yes,medium,low,high,30
Data Analyst,social media,no,organizations,content,no,no,large,low,no,no,yes,high,low,low,18
Church Choir Member,entertainment,yes,brands,experience,yes,yes,massive,medium,yes,yes,yes,high,medium,low,17
Mechanical Technician,religion,no,individuals,experience,yes,yes,medium,medium,no,yes,no,low,low,low,17
Journalist,social media,yes,organizations,service,sometimes,yes,large,low,no,no,yes,high,medium,low,17
Church Choir Member,music,sometimes,brands,digital,no,no,large,medium,yes,yes,no,low,medium,high,13
Fashion Model,social media,no,brands,content,no,no,massive,high,no,yes,yes,low,medium,medium,27
Data Analyst,music,sometimes,brands,experience,sometimes,no,large,high,no,no,no,high,high,medium,21
Automotive Engineer,social media,no,platform,experience,sometimes,no,massive,low,no,yes,no,high,low,medium,19
Video Editor,marketing,yes,individuals,digital,yes,yes,medium,medium,yes,no,yes,medium,medium,medium,24
Sound Engineer,technology,no,organizations,physical,yes,no,large,medium,no,no,no,medium,high,high,23
Game Designer,religion,sometimes,brands,content,sometimes,yes,medium,medium,yes,yes,yes,high,high,medium,13
Architect,education,no,organizations,content,sometimes,yes,small,medium,yes,no,no,low,medium,low,18
Marketing Specialist,social media,no,organizations,service,no,yes,massive,high,yes,no,yes,medium,high,high,16
Event Coordinator,education,yes,platform,digital,sometimes,no,large,medium,no,no,yes,low,high,high,15
Podcast Host,education,yes,individuals,digital,yes,yes,medium,high,no,yes,yes,high,low,high,15
Graphic Designer,technology,yes,individuals,service,no,yes,medium,high,yes,no,yes,high,high,high,21
Automotive Engineer,entertainment,sometimes,brands,content,no,yes,medium,low,no,no,yes,low,low,high,29
YouTuber,automotive,no,companies,experience,no,yes,medium,low,no,yes,yes,low,low,high,16
UX Designer,design,sometimes,organizations,content,yes,no,massive,high,yes,no,no,low,high,low,20
Video Editor,automotive,no,organizations,service,no,no,medium,medium,yes,no,no,medium,medium,low,27
YouTuber,marketing,no,platform,digital,yes,yes,large,medium,yes,yes,yes,high,low,high,15
Marketing Specialist,entertainment,no,individuals,digital,yes,yes,small,medium,no,yes,no,low,low,low,15
Video Editor,design,yes,platform,service,sometimes,yes,small,high,yes,no,no,medium,low,high,25
Interior Designer,non-profit,yes,platform,experience,no,no,medium,medium,yes,no,no,medium,high,low,21
Game Designer,automotive,sometimes,platform,experience,yes,yes,small,low,no,no,yes,medium,low,low,28
NGO Worker,social media,yes,platform,content,sometimes,no,large,high,no,no,no,high,medium,high,17
Software Developer,marketing,yes,companies,experience,yes,no,medium,high,yes,yes,no,high,medium,low,13
Film Editor,design,no,platform,service,sometimes,yes,medium,medium,yes,yes,no,high,high,low,25
Journalist,automotive,yes,brands,service,no,yes,large,medium,no,no,no,high,low,high,18
Graphic Designer,automotive,sometimes,platform,physical,no,yes,massive,medium,no,yes,no,low,medium,high,22
Photographer,social media,no,companies,content,yes,no,small,high,no,no,yes,medium,low,low,19
Video Editor,technology,no,platform,digital,yes,no,large,medium,no,yes,no,high,medium,medium,24
Photographer,religion,sometimes,brands,content,no,yes,massive,medium,no,yes,yes,low,low,low,13
Social Media Influencer,music,sometimes,companies,digital,no,yes,large,low,yes,no,yes,low,medium,medium,15
Automotive Engineer,design,sometimes,brands,service,no,yes,medium,high,no,no,yes,high,high,medium,30
Mechanical Technician,entertainment,yes,companies,digital,sometimes,yes,medium,low,yes,yes,yes,medium,medium,low,16
Church Choir Member,technology,no,companies,physical,sometimes,yes,small,high,yes,no,yes,high,medium,medium,28
Software Developer,marketing,yes,brands,service,yes,no,massive,high,yes,no,no,medium,medium,low,27
Teacher,non-profit,sometimes,companies,experience,no,no,massive,high,yes,no,no,medium,high,high,17
Mechanical Technician,religion,yes,organizations,service,sometimes,no,medium,medium,no,yes,yes,low,medium,high,17
NGO Worker,non-profit,no,organizations,experience,yes,no,small,low,no,no,no,medium,low,high,28
Religious Youth Leader,design,sometimes,brands,physical,no,no,small,low,no,no,no,high,low,high,27
Architect,religion,no,organizations,experience,sometimes,yes,small,medium,no,yes,no,high,low,low,27
YouTuber,non-profit,sometimes,companies,content,sometimes,no,massive,medium,yes,no,no,high,high,high,22
Automotive Engineer,education,no,companies,content,yes,no,small,low,no,no,no,low,medium,high,13
Product Manager,education,no,individuals,digital,no,no,medium,medium,no,no,no,high,high,low,21
UX Designer,religion,sometimes,platform,service,yes,yes,massive,low,yes,yes,no,low,medium,low,20
Mechanical Technician,design,yes,brands,experience,no,yes,small,high,no,yes,yes,high,medium,medium,19
Civil Engineer,non-profit,sometimes,companies,digital,sometimes,no,large,low,no,yes,no,medium,medium,low,25
Product Manager,education,no,companies,content,yes,yes,large,high,no,yes,no,low,medium,medium,22
Architect,entertainment,yes,platform,experience,yes,yes,large,high,no,yes,yes,low,medium,medium,25
Video Editor,entertainment,yes,companies,experience,yes,no,massive,medium,no,yes,yes,low,medium,low,24
Software Developer,automotive,no,companies,digital,sometimes,yes,medium,medium,no,no,no,high,medium,high,21
Community Manager,automotive,sometimes,individuals,service,sometimes,yes,small,high,yes,yes,no,low,low,low,17
Church Choir Member,entertainment,no,brands,physical,sometimes,no,small,medium,no,no,yes,high,high,medium,15
YouTuber,automotive,sometimes,individuals,digital,yes,yes,large,medium,no,no,yes,low,high,medium,30
Event Coordinator,religion,no,companies,physical,no,yes,small,low,yes,yes,no,medium,high,high,17
YouTuber,design,no,companies,experience,sometimes,no,medium,low,no,no,no,low,high,medium,24
Podcast Host,religion,sometimes,individuals,experience,no,no,large,high,yes,yes,no,low,high,high,27
Product Manager,education,no,brands,digital,no,yes,small,low,yes,no,no,medium,high,high,30
Data Analyst,music,no,brands,content,sometimes,yes,small,low,yes,no,yes,high,low,low,19
Social Media Influencer,social media,yes,brands,digital,yes,yes,massive,high,no,yes,yes,low,high,high,29
Music Producer,entertainment,sometimes,organizations,experience,yes,yes,large,medium,no,yes,no,low,low,high,25
Vehicle Armoring Specialist,religion,no,organizations,service,no,no,massive,low,no,yes,yes,high,low,low,18
Architect,technology,yes,companies,service,yes,yes,small,high,no,yes,yes,high,low,low,23
Event Coordinator,music,sometimes,brands,content,sometimes,no,medium,high,no,yes,no,medium,low,low,24
Interior Designer,automotive,no,companies,content,yes,no,large,high,yes,yes,no,high,low,medium,13
NGO Worker,social media,sometimes,companies,service,yes,no,small,high,no,no,yes,low,high,high,21
Automotive Engineer,technology,no,brands,service,sometimes,yes,massive,low,yes,no,no,medium,low,high,27
Data Analyst,non-profit,sometimes,brands,experience,sometimes,yes,large,low,no,no,yes,high,medium,high,16
Software Developer,social media,no,organizations,physical,sometimes,yes,medium,medium,no,yes,yes,high,medium,medium,22
Film Editor,music,sometimes,platform,service,no,no,small,low,yes,yes,no,low,low,low,14
Social Media Influencer,technology,sometimes,individuals,digital,sometimes,yes,medium,medium,yes,no,yes,medium,low,low,17
Graphic Designer,marketing,sometimes,companies,experience,no,yes,large,high,no,no,yes,high,medium,medium,19
Film Editor,design,yes,brands,physical,sometimes,yes,massive,low,no,no,yes,low,high,high,27
Social Media Influencer,music,sometimes,brands,content,yes,no,small,low,no,yes,no,high,medium,high,21
UX Designer,non-profit,no,brands,experience,no,no,small,high,yes,yes,yes,high,high,medium,29
Game Designer,non-profit,sometimes,individuals,physical,no,no,small,low,no,yes,yes,high,low,low,29
Automotive Engineer,social media,yes,individuals,service,sometimes,yes,small,high,yes,yes,no,high,medium,medium,17
Data Analyst,non-profit,yes,organizations,content,sometimes,no,small,medium,no,yes,yes,low,low,low,16
Interior Designer,entertainment,sometimes,brands,content,yes,no,small,medium,no,yes,no,low,medium,low,20
Fashion Model,social media,yes,organizations,experience,sometimes,no,massive,low,yes,yes,yes,low,medium,medium,25
Photographer,design,yes,individuals,content,sometimes,no,small,high,no,yes,no,low,medium,low,16
Journalist,social media,no,organizations,service,no,no,medium,low,no,no,yes,medium,medium,low,13
Software Developer,social media,sometimes,platform,digital,sometimes,yes,small,high,no,yes,yes,medium,medium,low,23
Product Manager,social media,no,organizations,digital,yes,yes,large,medium,no,no,no,high,low,low,14
Graphic Designer,automotive,no,individuals,physical,sometimes,yes,medium,low,no,no,yes,high,low,medium,23
NGO Worker,design,yes,platform,service,yes,no,massive,medium,no,yes,yes,high,medium,low,17
Data Analyst,marketing,no,platform,physical,yes,yes,large,low,yes,no,no,high,low,low,13
Video Editor,education,sometimes,companies,physical,yes,no,medium,high,yes,no,no,high,high,high,28
NGO Worker,religion,no,brands,content,yes,no,medium,medium,no,yes,no,medium,medium,medium,27
Mechanical Technician,marketing,sometimes,organizations,digital,no,no,massive,high,no,yes,no,medium,low,low,27
Mechanical Technician,non-profit,sometimes,brands,service,no,no,medium,low,yes,no,yes,low,low,medium,25
Graphic Designer,education,yes,organizations,digital,no,no,large,medium,no,yes,yes,low,high,medium,16
Fashion Model,automotive,no,individuals,service,no,no,small,medium,no,no,yes,medium,high,high,24
Church Choir Member,technology,yes,brands,content,yes,no,small,high,no,no,no,low,medium,low,28
Music Producer,social media,no,companies,digital,no,no,large,high,no,yes,yes,medium,low,medium,18
Marketing Specialist,non-profit,sometimes,companies,service,sometimes,no,small,low,no,no,no,low,low,medium,23
Marketing Specialist,music,sometimes,companies,content,sometimes,yes,small,high,no,yes,no,low,low,low,24
Marketing Specialist,marketing,yes,platform,service,sometimes,yes,small,low,yes,no,no,low,medium,low,24
Podcast Host,entertainment,yes,organizations,physical,no,yes,medium,high,yes,yes,yes,medium,low,low,16
Podcast Host,education,no,platform,service,sometimes,no,large,high,yes,yes,no,high,high,low,14
NGO Worker,technology,yes,brands,digital,no,yes,small,medium,no,no,no,medium,low,low,30
Graphic Designer,religion,no,brands,digital,no,yes,large,high,yes,yes,no,low,low,low,28
Video Editor,music,yes,brands,digital,yes,no,large,high,no,no,yes,low,medium,high,29
Journalist,technology,no,organizations,physical,sometimes,no,small,low,no,no,yes,low,medium,low,13
Mechanical Technician,automotive,no,individuals,digital,yes,no,small,medium,no,no,no,high,medium,medium,16
Interior Designer,non-profit,sometimes,brands,service,no,no,medium,high,no,yes,no,high,low,low,19
Film Editor,entertainment,no,brands,physical,yes,yes,medium,high,yes,yes,no,high,high,low,18
Automotive Engineer,technology,sometimes,companies,digital,no,yes,large,low,no,yes,no,medium,high,high,16
Music Producer,social media,sometimes,organizations,physical,no,no,medium,high,yes,yes,no,high,low,medium,24
Mechanical Technician,marketing,yes,organizations,experience,yes,yes,large,medium,yes,no,no,high,high,high,21
Film Editor,technology,sometimes,platform,content,yes,yes,medium,high,no,yes,no,low,low,high,18
Video Editor,technology,no,individuals,experience,yes,yes,medium,low,no,no,no,high,medium,high,13
